area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg,annual_avg_estabs_prop,annual_avg_emplvl_prop,total_annual_wages_prop,taxable_annual_wages_prop,annual_contributions_prop,avg_annual_pay_prop,annual_avg_wkly_wage_prop,industry_code_name,own_code_name,agglvl_code_name,size_code_name,county_name
39041,0,10,70,0,2018,A,0,5456,88543,4899065110,882091620,17221505,1060.4146329640228,55329.78451,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Total, all industries",Total Covered,"County, Total Covered",All establishment sizes,Delaware County
39041,1,10,71,0,2018,A,0,15,238,14991053,0,0,1207.1796779657673,62987.617647058825,0,0.47,0.14,0.11,0,0,0.78,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002749267,0.00268796,0.003059982,0,0,1.1384034512910421,1.1384034512910421,"Total, all industries",Federal Government,"County, Total -- by ownership sector",All establishment sizes,Delaware County
39041,1,1021,73,0,2018,A,0,9,190,11104593,0,0,1120.1231625852038,58445.22631578947,0,0.55,0.46,0.45,0,0,0.97,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164956,0.00214585,0.002266676,0,0,1.056306776392067,1.056306776392067,"Trade, transportation, and utilities",Federal Government,"County, by Supersector -- by ownership sector",All establishment sizes,Delaware County
39041,1,1024,73,0,2018,A,0,1,12,680249,0,0,1086.4341270982063,56687.416666666664,0,1.26,0.3,0.2,0,0,0.64,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183284,0.000135527,0.000138853,0,0,1.0245370945716348,1.0245370945716348,Professional and business services,Federal Government,"County, by Supersector -- by ownership sector",All establishment sizes,Delaware County
39041,1,1028,73,0,2018,A,0,5,36,3206211,0,0,1706.893137207928,89061.41666666667,0,0.39,0.04,0.04,0,0,0.97,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000916422,0.000406582,0.000654454,0,0,1.6096469099421027,1.6096469099421025,Public administration,Federal Government,"County, by Supersector -- by ownership sector",All establishment sizes,Delaware County
39041,2,10,71,0,2018,A,0,13,359,23090023,0,0,1232.669499561506,64317.61281337048,0,0.34,0.13,0.14,0,0,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002382698,0.004054527,0.004713149,0,0,1.1624410501729916,1.1624410501729916,"Total, all industries",State Government,"County, Total -- by ownership sector",All establishment sizes,Delaware County
39041,2,1025,73,0,2018,A,0,4,48,2591238,0,0,1034.6245987255043,53984.125,0,0.5,0.03,0.03,0,0,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000733138,0.000542109,0.000528925,0,0,0.9756792923854405,0.9756792923854404,Education and health services,State Government,"County, by Supersector -- by ownership sector",All establishment sizes,Delaware County
39041,2,1028,73,0,2018,A,0,9,311,20498785,0,0,1263.2359151246187,65912.49196,0,0.33,0.29,0.32,0,0,1.14,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164956,0.003512418,0.004184224,0,0,1.1912660160051538,1.1912660160051536,Public administration,State Government,"County, by Supersector -- by ownership sector",All establishment sizes,Delaware County
39041,3,10,71,0,2018,A,0,125,7472,397514219,169119,4181,1019.6063649683683,53200.51110813704,0,1.35,0.87,0.93,0.01,0.04,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022910557184750734,0.084388376,0.081140832,0.000191725,0.000242778,0.9615166872211213,0.9615166872211213,"Total, all industries",Local Government,"County, Total -- by ownership sector",All establishment sizes,Delaware County
39041,3,1012,73,0,2018,A,N,2,0,0,0,0,0,0,N,0.85,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000366569,0,0,0,0,0,0,Construction,Local Government,"County, by Supersector -- by ownership sector",All establishment sizes,Delaware County
